SourceContentId,RecommendedContentId,Rank
6152652267138213180,-5238066650780855302,3
6152652267138213180,-5680127089889759432,4
6152652267138213180,-307396946333196366,5
9032993320407723266,3268827390679661574,1
9032993320407723266,4869691310149728361,2
9032993320407723266,786135087362634258,3
9032993320407723266,-7766518409111702133,4
9032993320407723266,5817939718364925129,5
7520301770873472812,-5679515279292214033,1
7520301770873472812,6040574489860277999,2
7520301770873472812,-1123543351704082417,3
7520301770873472812,-7959318068735027467,4
7520301770873472812,1999466695269209462,5
-5715266554592745669,5338677278233757627,1
-5715266554592745669,-8222568914848295086,2
-5715266554592745669,-5881946480525580860,3
-5715266554592745669,7375475877233036849,4
-5715266554592745669,-307396946333196366,5
8545647269051113523,-8939172344092554931,1
8545647269051113523,-1917202688559171732,2
8545647269051113523,-3820497466351868775,3
8545647269051113523,3750772607644674028,4
8545647269051113523,4700641534148321049,5
668505019835540303,8384349834972693428,1
668505019835540303,-377975173223377441,2
668505019835540303,3180608611815082945,3
668505019835540303,3075810310719170278,4
668505019835540303,638282658987724754,5
-6727393385193911938,-1917202688559171732,1
-6727393385193911938,2388097612905924826,2
-6727393385193911938,8545647269051113523,3
-6727393385193911938,-7485130558326482162,4
-6727393385193911938,-4541461982704074404,5
7351002593233940239,7707640607626518697,1
7351002593233940239,5379671084978512851,2
7351002593233940239,1019706997674210703,3
7351002593233940239,2106559900295325351,4
7351002593233940239,5779887740609126631,5
1083474613819325601,-1917202688559171732,1
1083474613819325601,-9089854794058353436,2
1083474613819325601,-7371144664961016145,3
1083474613819325601,-377975173223377441,4
1083474613819325601,-7485130558326482162,5
-4994468824009200256,966067567430037498,1
-4994468824009200256,-1917202688559171732,2
-4994468824009200256,4761910285123871012,3
-4994468824009200256,-5997769775112032630,4
-4994468824009200256,4102576381061107965,5
-4571929941432664145,-9033211547111606164,1
-4571929941432664145,6987435400166905688,2
-4571929941432664145,-1403735753867098241,3
-4571929941432664145,8384349834972693428,4
-4571929941432664145,-377975173223377441,5
5441215535748592870,-3468529816757552062,1
5441215535748592870,7372398343609401828,2
5441215535748592870,3375733407275108717,3
5441215535748592870,8084284001249507595,4
5441215535748592870,2858969450431709251,5
7359520440231676934,4463025528374352465,1
7359520440231676934,-3468529816757552062,2
7359520440231676934,2760023027553835473,3
7359520440231676934,3473173479782472081,4
7359520440231676934,-1081723567492738167,5
4774970687540378081,9060231864899459154,1
4774970687540378081,-6348943063155744346,2
4774970687540378081,549631724393582960,3
4774970687540378081,-7646922141533719881,4
4774970687540378081,-9050450867630628092,5
6102826385978742696,-7342604649736473979,1
6102826385978742696,-8287402887944984163,2
6102826385978742696,8259682769688682084,3
6102826385978742696,-3351656282247453586,4
6102826385978742696,6006800146436649545,5
809601605585939618,-2069509552243850466,1
809601605585939618,-8962700386317589038,2
809601605585939618,201515581783532281,3
809601605585939618,-6133746337603876146,4
809601605585939618,6153710684104095269,5
8742078838645536785,7494490104520466117,1
8742078838645536785,-4615575698508618335,2
8742078838645536785,-266262937631881148,3
8742078838645536785,-5669503112960687520,4
8742078838645536785,-5623496706605874646,5
-1802980374508081539,-2030742781169834114,1
-1802980374508081539,6428429126612898364,2
-1802980374508081539,-1596335233529956315,3
-1802980374508081539,2598008935363515744,4
-1802980374508081539,-637050915727878966,5
-6195775145989617417,-724699218170106849,1
-6195775145989617417,2173307133640600082,2
-6195775145989617417,1349971382589894814,3
-6195775145989617417,-7292285110016212249,4
-6195775145989617417,-7165716941095296287,5
-2176468683077766369,3294713041855207102,1
-2176468683077766369,5726008417498979736,2
-2176468683077766369,6716649347760033969,3
-2176468683077766369,7459726589306441015,4
-2176468683077766369,4891010769166501207,5
7973573994178035769,7140495736721533935,1
7973573994178035769,-1178371721262103855,2
7973573994178035769,8224860111193157980,3
7973573994178035769,-8518096793350810174,4
7973573994178035769,-686679025328909441,5
-1590585250246572231,5322532051893153382,1
-1590585250246572231,7446534728307622413,2
-1590585250246572231,1933229167501870037,3
-1590585250246572231,-2144625344076628986,4
-1590585250246572231,7174452660053929140,5
-4662020648308370136,-7454907763335725103,1
-4662020648308370136,-6742146164569753679,2
-4662020648308370136,-7534240757267992657,3
-4662020648308370136,2321412363020240814,4
-4662020648308370136,2966083692047828770,5
-4110991218639855802,2388097612905924826,1
-4110991218639855802,2625883933130361261,2
-4110991218639855802,3564394485543941353,3
-4110991218639855802,-4920252354047555768,4
-4110991218639855802,-277169424764188814,5
1964631817676172382,3575694866055127253,1
1964631817676172382,8527071648070448758,2
1964631817676172382,-1876558460087500339,3
1964631817676172382,-5491334714953807444,4
1964631817676172382,-1762456938647577126,5
5156657166068502754,-4291244850221551577,1
5156657166068502754,5442191984600038712,2
5156657166068502754,8461204368464164538,3
5156657166068502754,6852597772196653540,4
5156657166068502754,-3173020603774823976,5
-4102297002729307038,-2178100133349972724,1
-4102297002729307038,-2041630887686751489,2
-4102297002729307038,-4640750981890093183,3
-4102297002729307038,-9083294960368598209,4
-4102297002729307038,-7554863616241981368,5
2093656054622337275,-1492913151930215984,1
2093656054622337275,-998818216447049475,2
2093656054622337275,-7202774608580336956,3
2093656054622337275,-7259527987837041658,4
2093656054622337275,6304895356046683527,5
9122627895188486603,5834671664627894569,1
9122627895188486603,-2479936301516183562,2
9122627895188486603,5424502143558028097,3
9122627895188486603,-5002383425685129595,4
9122627895188486603,3320201327008235211,5
1933229167501870037,7446534728307622413,1
1933229167501870037,5322532051893153382,2
1933229167501870037,-907419983362132448,3
1933229167501870037,7062745737910050042,4
1933229167501870037,-1590585250246572231,5
7528802258213768379,-4110354420726924665,1
7528802258213768379,-5283009029345397378,2
7528802258213768379,-5850390492300666299,3
7528802258213768379,-7165716941095296287,4
7528802258213768379,-5649504870272917833,5
-9083294960368598209,-2178100133349972724,1
